D = propeller diameter [m],AEdAO = expanded area ratio,PdD = pitch ratio,Z = propeller's number of blades,P_B = power brake,n = Propeller angular speed [rpm],fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.6855035502478561,0.7731726037497115,0.7833555499323661,2,175.5471134377237,0,-244.63692344632977,0.016,0.014484415333706736,0.18523278672535445,0.1329197594769267,38.635894757167016,39.0,0.3935684766079395,False
0.6645710551617232,0.916088403135861,0.7742093115577493,2,180.37179578270974,0,-226.62282404538718,0.016,0.014759906844793358,0.15823562711457834,0.1275313016202476,39.610793824054056,39.0,0.25642051220909884,False
0.8,0.8007805372568064,0.8870937391899922,2,157.05377256963325,0,-180.15634757187354,0.016,0.013465379708945876,0.2060653463556014,0.17964029842525497,31.016757084359178,39.0,0.1470997775108985,False
0.8,0.9901171870081292,0.7301339069841255,2,156.79107474029638,0,-156.79107474029638,0.016,0.013371050693368402,0.12129616753696873,0.149366096324355,35.706411210364315,39.0,0,True
0.7099230134509172,0.8157892112276486,0.8472787985328418,2,172.27418536049368,0,-225.1618186525193,0.016,0.014313908871885895,0.1985031878467605,0.15187732619328392,35.300767867075315,39.0,0.3069968560951555,False
fitness at iteration,0,,,,,-156.7982528321835
0.8,1.05,0.7140741632340217,2,158.04907493530948,0,-158.04907493530948,0.016,0.01337004650957042,0.10970766122962233,0.1452059818823945,36.39407600687439,39.0,0,True
0.6693943623928975,0.8516681994358124,0.7575199735475941,2,179.2182632476307,0,-239.40510735719837,0.016,0.014665966140246326,0.16226559856543898,0.12430749541234486,40.18846055944467,39.0,0.3358298591835247,False
0.8,1.05,0.7003792460496444,2,158.9728335779401,0,-158.9728335779401,0.016,0.013363507166122566,0.10577528778867651,0.14164506586020242,37.00865816757287,39.0,0,True
0.7488571025247709,1.05,0.8726014565618451,2,160.6627772182514,0,-160.6627772182514,0.016,0.01390356352668702,0.16440906407006584,0.17035043140882952,32.42639983309699,39.0,0,True
0.8,1.05,0.8556201435735591,2,152.92914941386937,0,-152.92914941386937,0.016,0.013430241623764603,0.15330009752075066,0.17787035171549206,31.279089904948787,39.0,0,True
fitness at iteration,1,,,,,-152.937398033303
0.7551234192350487,1.05,0.8018426113067787,2,161.02166136013705,0,-161.02166136013705,0.016,0.013817003275725168,0.14030239978435163,0.15655950462055726,34.515858474762354,39.0,0,True
0.8,1.05,0.6940307885859219,2,159.42759112044553,0,-159.42759112044553,0.016,0.013360422246985762,0.10397468225297038,0.1399973121420972,37.30174119391899,39.0,0,True
0.8,1.05,0.8970157836185026,2,152.3064929539682,0,-152.3064929539682,0.016,0.013436333929680572,0.1670493795269928,0.18607283931703472,30.106385131902666,39.0,0,True
0.8,1.05,0.8588473537191773,2,152.869932015401,0,-152.869932015401,0.016,0.013430947830168688,0.15435690277975847,0.17851174527411337,31.183277666841878,39.0,0,True
0.8,1.05,0.9623874000028264,2,151.67836397728664,0,-151.67836397728664,0.016,0.013429132068981225,0.18968604587516716,0.19857653171086576,28.467856187956748,39.0,0,True
fitness at iteration,2,,,,,-151.6872596089789
0.8,1.05,0.8337842241027279,2,153.36369990708866,0,-153.36369990708866,0.016,0.013424192739432588,0.14622888791252678,0.1734911427525769,31.947207465587894,39.0,0,True
0.8,1.05,0.8602007185193531,2,152.8447261215773,0,-152.8447261215773,0.016,0.013431217350467995,0.1548013972843945,0.17878125856535076,31.143272804045544,39.0,0,True
0.8,1.05,0.706598298795334,2,158.53231130866038,0,-158.53231130866038,0.016,0.01336631999481109,0.1075574435379651,0.14326769109653706,36.72584247809615,39.0,0,True
0.8,1.05,0.6730520100929749,2,161.188238687267,0,-161.188238687267,0.016,0.01335206613894825,0.09808274040988742,0.13452559069692913,38.3177712984818,39.0,0,True
0.8,1.05,0.8863471303851754,2,152.45762702628318,0,-152.45762702628318,0.016,0.013435686980398156,0.1634555710885441,0.18396811405273286,30.398314119215115,39.0,0,True
fitness at iteration,3,,,,,-151.6872596089789
0.8,1.05,1.0840898931882974,2,150.8821277251085,0,-160.69034774188472,0.016,0.013349749052435361,0.23499747267458906,0.2206536931771355,25.94917070694195,39.0,0.06500584373151057,False
0.8,1.05,0.9590474009558222,2,151.70287999694776,0,-151.70287999694776,0.016,0.013430038864408455,0.18850215803105608,0.1979584386003932,28.545965544318904,39.0,0,True
0.8,1.05,0.8923865745176868,2,152.37340518789443,0,-152.37340518789443,0.016,0.013436166624517538,0.1654845030815359,0.18515756639953454,30.232325113135403,39.0,0,True
0.8,1.05,0.7530873496217415,2,155.9497501359091,0,-155.9497501359091,0.016,0.013389588838613001,0.12119154277488116,0.15495454055162738,34.77650210265876,39.0,0,True
0.8,1.05,1.067366595714921,2,150.99384074177857,0,-158.51320534702924,0.016,0.013366192467261218,0.2285165631005736,0.2176764608357172,26.261559824770167,39.0,0.049799147887825815,False
fitness at iteration,4,,,,,-151.6872596089789
0.8,1.05,1.1773688087596272,2,149.99415685308944,0,-174.00680281319362,0.016,0.013221621915264842,0.2728287350380249,0.23517882873381904,24.359478547900814,39.0,0.16009054261775799,False
0.8,1.05,1.1389392785557488,2,150.4307895291273,0,-168.56798687446621,0.016,0.013282168040951713,0.25687991540976235,0.22924073073283743,24.985630033852484,39.0,0.12056838498362786,False
0.8,1.05,0.9741935382403814,2,151.6034954353267,0,-151.6034954353267,0.016,0.01342555371931902,0.19388955336922598,0.20076228258668088,28.196548031178096,39.0,0,True
0.8,1.05,1.054437207711574,2,151.08449792108425,0,-156.8436429031874,0.016,0.013377779747501643,0.22355658804321116,0.21534780904258646,26.510108174692668,39.0,0.038118702192142355,False
0.8,1.05,1.060734276911906,2,151.0381757334335,0,-157.65650484313363,0.016,0.013372230932398706,0.22596813260561727,0.21648212077644238,26.388190346251026,39.0,0.04381891583079481,False
fitness at iteration,5,,,,,-151.61246727882653
0.8,1.05,0.9962614202681431,2,151.45099267921498,0,-151.45099267921498,0.016,0.013416290020742896,0.20186745074599807,0.20483339780207935,27.7055921000482,39.0,0,True
0.8,1.05,0.8485078258806757,2,153.05578622573205,0,-153.05578622573205,0.016,0.013428377458394028,0.15098622965176742,0.1764626979205996,31.492382438312827,39.0,0,True
0.8,1.05,1.0039277956036243,2,151.4056281525521,0,-151.4056281525521,0.016,0.013412478771617067,0.20466713702107803,0.20623177345515706,27.540375636118352,39.0,0,True
0.8,1.05,0.9979435999590011,2,151.44159638693253,0,-151.44159638693253,0.016,0.013415494648847986,0.20247987349943997,0.20513970969188358,27.669155485368258,39.0,0,True
0.8,1.05,0.9569114148709872,2,151.73045101773744,0,-151.73045101773744,0.016,0.01343077764098763,0.1877385700242751,0.19755852141180347,28.596837322707675,39.0,0,True
fitness at iteration,6,,,,,-151.41479605594807
0.8,1.05,1.12744920634465,2,150.52692347270715,0,-166.9230264619317,0.016,0.013297907474989042,0.25222488270162824,0.22744995954766714,25.179667373477283,39.0,0.10892471998338152,False
0.8,1.05,1.0056377047382015,2,151.38993336224752,0,-151.38993336224752,0.016,0.013411486199679043,0.20529815896600861,0.20654659481800483,27.503572996044475,39.0,0,True
0.8,1.05,1.007657139548814,2,151.37579532272287,0,-151.37579532272287,0.016,0.013410362860645463,0.2060411897242001,0.206916653461863,27.46049520674181,39.0,0,True
0.8,1.05,0.9498100824323561,2,151.78247530461744,0,-151.78247530461744,0.016,0.01343237126983463,0.18523757812596997,0.19624811654831165,28.765396446476757,39.0,0,True
0.8,1.05,0.953504632606528,2,151.75532053869108,0,-151.75532053869108,0.016,0.013431580817634388,0.18653688364340176,0.1969294613317262,28.67739423404877,39.0,0,True
fitness at iteration,7,,,,,-151.3849882324258
0.8,1.05,1.1616978618944787,2,150.18379482564438,0,-171.7982357491098,0.016,0.013247621799166552,0.26626334897814846,0.23276397454349532,24.610228574024518,39.0,0.1439199279027318,False
0.8,1.05,0.9663866942989598,2,151.64603684908363,0,-151.64603684908363,0.016,0.013427903972212614,0.19111018915692282,0.19931891448298691,28.37485743699796,39.0,0,True
0.8,1.05,1.0293146356443081,2,151.24443272451347,0,-153.55286759793228,0.016,0.01339703991100431,0.2140690132370959,0.2108508097401166,27.010027765685823,39.0,0.015262941133334412,False
0.8,1.05,0.9913899581110872,2,151.4861335328445,0,-151.4861335328445,0.016,0.01341862361503619,0.20009273254030385,0.20394376890876365,27.81221154616055,39.0,0,True
0.8,1.05,0.9221049617287527,2,152.04004543332084,0,-152.04004543332084,0.016,0.013436403558392339,0.1755933126828049,0.19095824652139576,29.449903360797467,39.0,0,True
fitness at iteration,8,,,,,-151.3849882324258
0.8,1.05,1.0651520961760637,2,151.0129046185787,0,-158.23093109629397,0.016,0.013368309485518256,0.2276606787725957,0.21727547282120557,26.30387834420001,39.0,0.04779741503513388,False
